chantier_id;commune_id;fid;gid;nom_voie;nom_chantier;commune;code_insee;precision_localisation;debut_chantier;fin_chantier;description_internet;avancement;importance;type_perturbation;intervenant;validite;code_importance;document_joint;url_document;geometrie_wkt
CHANTIER_413984;INSEE_69383;pvo_patrimoine_voirie.pvochantierperturbant.413984;413984;Route de Genas;Travaux d'aménagement de voirie;Lyon 3e Arrondissement;69383;Entre la rue Dauphiné et la rue Frédéric Mistral;2026-03-20;2026-05-15;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.8756810473136785 45.754945195282886, 4.875714215289795 45.75492085787165, 4.87593231705215 45.75492915631293, 4.876006936836265 45.75494306610732, 4.876029062544069 45.75495784065717, 4.876072326701435 45.75486628880158, 4.875691161279346 45.75483256151133, 4.8756810473136785 45.754945195282886)))
CHANTIER_406123;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.406123;406123;Rue Armand;Travaux de voirie;Villeurbanne;69266;Entre la rue Château Gaillard et la rue Emile Dunière;2024-10-21;2026-09-30;Sens Ouest-Est;Chantier en cours;Chantier très perturbant;Circulation sens unique;Autre;A vérifier;1;;;MULTIPOLYGON (((4.883913786280067 45.77841331121974, 4.883990204202158 45.778434518187105, 4.8846814565995915 45.778660634446936, 4.884993237603751 45.77879030277849, 4.885029541144696 45.778778465485985, 4.8849612068753485 45.778725022992, 4.883965596227555 45.77838516642058, 4.883913786280067 45.77841331121974)))
CHANTIER_413998;INSEE_69286;pvo_patrimoine_voirie.pvochantierperturbant.413998;413998;Route de Genève;Travaux réseaux;Rillieux-la-Pape;69286;À l'intersection avec le Chemin des pécheurs et la montée de la Velette;2026-03-09;2026-04-30;9h-16h;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.904424614152872 45.808664118258456, 4.904611119093104 45.808648202184955, 4.9045505786690375 45.808542576089486, 4.9043439011129895 45.80856309469856, 4.904424614152872 45.808664118258456)))
CHANTIER_414002;INSEE_69383;pvo_patrimoine_voirie.pvochantierperturbant.414002;414002;Avenue Félix Faure;travaux d’aménagement de voirie;Lyon 3e Arrondissement;69383;entre Rue Jeanne Hachette et Rue Frédéric Mistral;2026-03-20;2026-05-15;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.863330056585696 45.75408017363014, 4.86330238301023 45.75421591373468, 4.876056007115276 45.75576503853446, 4.8760729178478375 45.75562947234649, 4.863330056585696 45.75408017363014)))
CHANTIER_401941;INSEE_69385;pvo_patrimoine_voirie.pvochantierperturbant.401941;401941;Montée Saint-Barthélemy;Travaux d'aménagement;Lyon 5e Arrondissement;69385;Au Nord de la place de l'Antiquaire;2024-01-10;2026-12-31;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.823507431561888 45.76039606251456, 4.823399819524574 45.76046573133564, 4.823565604097221 45.76060665574039, 4.823715208393406 45.760756812448946, 4.8237573249970875 45.760812544105185, 4.823887114208555 45.760748928453374, 4.823832015457536 45.7606882775577, 4.823507431561888 45.76039606251456)))
CHANTIER_414013;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.414013;414013;Allée du stade;Travaux de chauffage urbain;Vaulx-en-Velin;69256;Au Sud de l'avenue Bataillon Carmagnole Liberté;2026-03-16;2026-05-29;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.9259068619717965 45.758340749611506, 4.925683173748834 45.75835407753851, 4.925704943552953 45.75876503655505, 4.925955988273661 45.7587544262528, 4.9259068619717965 45.758340749611506)))
CHANTIER_414018;INSEE_69382;pvo_patrimoine_voirie.pvochantierperturbant.414018;414018;Pont Pasteur;travaux d’aménagement de voirie;Lyon 2e Arrondissement;69382;;2026-03-23;2026-07-31;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.82295741202417 45.73277504912408, 4.823641394134121 45.7325982625781, 4.8235695637637725 45.73244801410642, 4.822886643178937 45.73265722623118, 4.82295741202417 45.73277504912408)))
CHANTIER_414019;INSEE_69383;pvo_patrimoine_voirie.pvochantierperturbant.414019;414019;Rue de la Villette;travaux d’aménagement de voirie;Lyon 3e Arrondissement;69383;entre Cours Lafayette et Avenue Georges Pompidou;2026-03-23;2026-05-04;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.8618173423061375 45.76359393874633, 4.861992369909415 45.76358230465029, 4.861806361152136 45.759139137712076, 4.861643285434125 45.75913303645144, 4.8618173423061375 45.76359393874633)))
CHANTIER_414347;INSEE_69072;pvo_patrimoine_voirie.pvochantierperturbant.414347;414347;Avenue de Verdun;Réglementation de la circulation;Dardilly;69072;;2026-03-20;2026-04-30;;Chantier en cours;Chantier perturbant;Circulation alternée;Autre;A vérifier;2;;;MULTIPOLYGON (((4.7511521971694055 45.80911635161688, 4.750935738547337 45.81243965064019, 4.75086321377979 45.81310793355343, 4.750995980263207 45.813118241076076, 4.751240879524118 45.80911352622729, 4.7511521971694055 45.80911635161688)))
CHANTIER_406216;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.406216;406216;Rue de Gerland;Travaux Tramway T10;Lyon 7e Arrondissement;69387;Entre la rue Jean Baldassini et l'avenue Tony Garnier;2024-10-21;2026-12-31;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.837565639808545 45.7275964171532, 4.837695138491063 45.72759157288387, 4.837678766021025 45.72697544727556, 4.837740901399048 45.72683410411745, 4.837791708462579 45.72634897653378, 4.837519578794308 45.726317602382096, 4.837546583772479 45.72642173250995, 4.837565639808545 45.7275964171532)))
CHANTIER_413578;INSEE_69388;pvo_patrimoine_voirie.pvochantierperturbant.413578;413578;Avenue des Frères Lumières;Travaux de voirie;Lyon 8e Arrondissement;69388;A l'intersection avec la rue Saint-Gervais;2026-02-18;2027-02-12;;Chantier en cours;Chantier perturbant;Circulation alternée;Autre;A vérifier;2;;;MULTIPOLYGON (((4.863913331390087 45.74573479975487, 4.863968391649615 45.74580645328447, 4.864496537606346 45.74564792761605, 4.864465604724422 45.74558658377814, 4.864433702412521 45.74559781167284, 4.863913331390087 45.74573479975487)))
CHANTIER_413274;INSEE_69259;pvo_patrimoine_voirie.pvochantierperturbant.413274;413274;Rue Jules Serval;Travaux de tramway T10;Vénissieux;69259;Sur l'ensemble de l'axe;2026-01-16;2026-04-26;Sens Sud/Nord;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.872509015982927 45.70700184737392, 4.872564035353303 45.707050046826225, 4.8725955474248295 45.70709395696475, 4.872763617483251 45.70782544410923, 4.872763027542578 45.70790729756562, 4.872695485225616 45.70798323836991, 4.873034246959405 45.70793322717041, 4.872949910271846 45.707906556533935, 4.872887904590537 45.70784911831147, 4.872707472662122 45.70704768360989, 4.872751583607346 45.70696978965647, 4.872509015982927 45.70700184737392)))
CHANTIER_413273;INSEE_69259;pvo_patrimoine_voirie.pvochantierperturbant.413273;413273;Rue Marius Martin;Travaux Tramway T10;Vénissieux;69259;Sur l'ensemble de l'axe;2026-01-16;2026-04-26;Sens Nord/Sud;Chantier en cours;Chantier perturbant;Circulation interdite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.868722554843025 45.70745646279593, 4.8688386978337155 45.70768000350892, 4.869012038662334 45.70848818607326, 4.869096105060625 45.70862734393953, 4.869255451745545 45.70876819157242, 4.869388366262988 45.70886848258612, 4.869437449020272 45.70896136882663, 4.8695679709581245 45.70886552857833, 4.869474806194768 45.70882899850186, 4.86925462819986 45.708618881459074, 4.869166876234214 45.708494424256266, 4.86900231709961 45.70782370901234, 4.868949276510422 45.70748787053718, 4.869009770168001 45.70742246132277, 4.868722554843025 45.70745646279593)))
CHANTIER_413298;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.413298;413298;Rue de la Feyssine;Travaux d'aménagement urbain;Villeurbanne;69266;Entre l'avenue Albert Einstein et l'avenue Roger Salengro;2026-01-26;2026-06-15;Nord/Sud;Chantier en cours;Chantier très perturbant;Circulation sens unique;Autre;A vérifier;1;;;MULTIPOLYGON (((4.889169198392671 45.78482939049837, 4.889239756102197 45.784963235881435, 4.889413066015952 45.784832449217774, 4.890437421623021 45.78299271975304, 4.890542077065454 45.782934132668515, 4.890393445831615 45.78289396416204, 4.889274701530437 45.78479566208688, 4.889169198392671 45.78482939049837)))
CHANTIER_411168;INSEE_69382;pvo_patrimoine_voirie.pvochantierperturbant.411168;411168;Rue Gentil;Travaux ZTF;Lyon 2e Arrondissement;69382;Entre la rue de la Bourse et la ru du President Edouard Herriot;2025-08-14;2026-12-31;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.834401182241983 45.764892729430265, 4.834416997812337 45.764890886811855, 4.835216042808332 45.764912923133814, 4.835766475943915 45.764961186787176, 4.836786547154269 45.76501456657868, 4.836791151569237 45.76494782505853, 4.835703497891377 45.764908234084466, 4.835111426490703 45.764835244051476, 4.834399145857349 45.76483085711994, 4.834401182241983 45.764892729430265)))
CHANTIER_406124;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.406124;406124;Rue Emile Dunière;Travaux de voirie;Villeurbanne;69266;Entre la rue Armand et l'avenue Roger Salengro;2024-10-21;2026-09-30;Sens Sud/Nord;Chantier en cours;Chantier très perturbant;Circulation sens unique;Concessionnaire;A vérifier;1;;;MULTIPOLYGON (((4.885051258359358 45.778876703330944, 4.884991478462649 45.778877693474406, 4.884390412646478 45.78088135420895, 4.884439583396283 45.78088814984146, 4.885051258359358 45.778876703330944)))
CHANTIER_406215;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.406215;406215;Avenue Jean Jaurès;Travaux Tramway T10;Lyon 7e Arrondissement;69387;Entre la rue Jean-Pierre Chevrot et la rue Benjamin Delessert;2024-10-21;2026-12-31;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.831899749489112 45.728224166179494, 4.831458065322907 45.72750194572292, 4.829921494985377 45.724931841543196, 4.829796332685667 45.72500331598105, 4.830546001938387 45.72626138320963, 4.831659665711953 45.72824787938496, 4.831899749489112 45.728224166179494)))
CHANTIER_411543;INSEE_69194;pvo_patrimoine_voirie.pvochantierperturbant.411543;411543;Chemin des Rivières;Travaux de rejointement;Saint-Didier-au-Mont-d'Or;69194;A l'Ouest du chemin de Charrières;2025-09-11;2026-12-31;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.801752313410349 45.792473800717936, 4.802190108182151 45.79255588338581, 4.802107119846772 45.792467085609154, 4.8017712681148845 45.79242844539315, 4.801752313410349 45.792473800717936)))
CHANTIER_411747;INSEE_69286;pvo_patrimoine_voirie.pvochantierperturbant.411747;411747;Boulevard des Loisirs;travaux de l'usine de traitement d'eau potable;Rillieux-la-Pape;69286;;2025-10-01;2028-10-30;de 08h00 à 18h00;Chantier en cours;Chantier très perturbant;Circulation interdite de jour;Autre;A vérifier;1;;;MULTIPOLYGON (((4.906961820621693 45.80569991693627, 4.906961708879967 45.805696653481746, 4.9094312444768775 45.80569771012327, 4.909580431348654 45.805691943794116, 4.909707296593274 45.80571593510759, 4.909723496115535 45.805643836077664, 4.909568191324887 45.80560726222857, 4.906935587186934 45.80561546951419, 4.906961820621693 45.80569991693627)))
CHANTIER_413352;INSEE_69387;pvo_patrimoine_voirie.pvochantierperturbant.413352;413352;Avenue Debourg;travaux d'aménagement de tramway T10;Lyon 7e Arrondissement;69387;entre Rue de Saint-Cloud et Rue Jonas Salk;2026-01-23;2026-12-31;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.827763834557971 45.731522477932096, 4.825861332239168 45.73161311299506, 4.824263466194543 45.73165163049969, 4.823401004205569 45.73169549894955, 4.823402406364343 45.731738384000316, 4.823671149215631 45.7317126205794, 4.823770250063642 45.73174535705462, 4.825998721736465 45.731692430709806, 4.827773051152412 45.73161672666416, 4.827763834557971 45.731522477932096)))
CHANTIER_410838;INSEE_69202;pvo_patrimoine_voirie.pvochantierperturbant.410838;410838;Route de la Libération;Travaux d'assainissement;Sainte-Foy-lès-Lyon;69202;Au nord du chemin de Taffignon;2025-10-07;2026-12-31;Sens Nord/Sud;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.775881178352847 45.73290862397058, 4.7762295256749425 45.732911051237316, 4.776472130888737 45.7313573647644, 4.776575148834833 45.731064657742124, 4.777416592710162 45.72961962362262, 4.777816748474308 45.729133450348534, 4.77854050528217 45.728579275042335, 4.7790117732784365 45.72820999674199, 4.778752777909885 45.72819044677418, 4.778108126181355 45.72875912142618, 4.777788777822081 45.728960802590585, 4.777988073753167 45.72851710634945, 4.778583492234749 45.72746141675531, 4.778381141172386 45.72745671389467, 4.777745818912672 45.72867037648436, 4.777592685907402 45.72915268815933, 4.7771815511174145 45.7296469000744, 4.776764190516736 45.73029855691381, 4.776245303929084 45.731290100026094, 4.776009874320371 45.732363756603156, 4.775881178352847 45.73290862397058)))
CHANTIER_413389;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.413389;413389;avenue Bataillon Carmagnole Liberté;Travaux chauffage urbain;Vaulx-en-Velin;69256;entre l'avenue Roger Salengro et l'allée du Stade;2026-02-02;2026-05-29;7h-17h;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.925967297565476 45.75877051390081, 4.925984816557428 45.75884701091361, 4.927347224577333 45.758775779374815, 4.927813054880407 45.75874966431742, 4.9281286243007045 45.75873390379221, 4.928154642038196 45.75873346283469, 4.928569053360107 45.75877980392731, 4.92852378861919 45.75870768198958, 4.928120528499153 45.75866115174947, 4.927845890554143 45.7586775201168, 4.927836958065456 45.75868808410508, 4.927603023514966 45.75869855626888, 4.927528373190162 45.758690709936005, 4.925967297565476 45.75877051390081)))
CHANTIER_412891;INSEE_69389;pvo_patrimoine_voirie.pvochantierperturbant.412891;412891;Rue Gorge de Loup;permis de stationnement d'urbanisme;Lyon 9e Arrondissement;69389;entre Avenue Joannès Masset et Impasse Gorge de Loup;2025-11-27;2026-10-14;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.797998126249134 45.76917989325668, 4.79916545868698 45.76920743185366, 4.799851745064629 45.76926173136993, 4.800099536492142 45.76930380133844, 4.800727349546421 45.7694126756264, 4.800774383643087 45.76934294640786, 4.799959111848613 45.76919488043017, 4.799618767902562 45.76916960381682, 4.799119321769732 45.76913534421764, 4.79853888717469 45.76913685452856, 4.798171423324293 45.76911966673357, 4.798034092474274 45.76910650696148, 4.797998126249134 45.76917989325668)))
CHANTIER_413390;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.413390;413390;allée du Textile;Travaux chauffage urbain;Vaulx-en-Velin;69256;entre la rue Armand Menzikian et l'avenue Bataillon Carmagnole Liberté;2026-02-02;2026-05-29;7h-17h;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.9265938640452145 45.76097037925842, 4.926725359474918 45.760954147739746, 4.926482757454442 45.758913561828976, 4.926371070497762 45.75892385586394, 4.9265938640452145 45.76097037925842)))
CHANTIER_413388;INSEE_69256;pvo_patrimoine_voirie.pvochantierperturbant.413388;413388;Allée du stade;Travaux chauffage urbain;Vaulx-en-Velin;69256;Au droit de l'avenue Bataillon Carmagnole Liberté;2026-02-02;2026-05-29;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.925702063668351 45.758767355214616, 4.92595506901799 45.7587533131592, 4.92594807189072 45.758697539750855, 4.925712494556705 45.75870241415444, 4.925702063668351 45.758767355214616)))
CHANTIER_413600;INSEE_69259;pvo_patrimoine_voirie.pvochantierperturbant.413600;413600;Avenue de la République;Travaux T10;Vénissieux;69259;entre la Rue Louis Aulagne et l'allée des Erables;2026-02-05;2026-05-24;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.867612598461401 45.70757298893108, 4.870079926102189 45.70728785018883, 4.870052746527057 45.70720964161677, 4.867585339972615 45.707492323131746, 4.867612598461401 45.70757298893108)))
CHANTIER_413602;INSEE_69259;pvo_patrimoine_voirie.pvochantierperturbant.413602;413602;Avenue de la République;Travaux T10;Vénissieux;69259;entre la Rue Norbert Kugler et la rue Louis Aulagne;2026-02-05;2026-04-26;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.870187594151502 45.70719912100029, 4.870211004726923 45.70727705854663, 4.8724115493639495 45.70700039562908, 4.872838259953734 45.706933256538996, 4.873484116876954 45.70681150335498, 4.874145256907996 45.70668038609811, 4.87467134004959 45.706553315178404, 4.875433653233256 45.70633855534738, 4.876002248508916 45.70616159694587, 4.876556992588843 45.705959362718254, 4.876418548403815 45.705939791043484, 4.876375418419555 45.70597146790279, 4.875864110021361 45.706151126104125, 4.875380095382797 45.706292081005124, 4.87458950756688 45.70651641337581, 4.8745344538632684 45.70650274979319, 4.873863414078509 45.706648604142984, 4.873859195093762 45.706677816828545, 4.8726854785156375 45.706873844303416, 4.871917251814626 45.70699032254097, 4.870837523594602 45.70712103064467, 4.870187594151502 45.70719912100029)))
CHANTIER_408794;INSEE_69194;pvo_patrimoine_voirie.pvochantierperturbant.408794;408794;Chemin des Epinettes;Travaux de chute d'un mur;Saint-Didier-au-Mont-d'Or;69194;Sur l'ensemble de l'axe;2025-06-10;2026-06-24;;Chantier en cours;Chantier très perturbant;Circulation interdite;Autre;A vérifier;1;;;MULTIPOLYGON (((4.805661522540703 45.8108420334946, 4.805661437519867 45.810839411320885, 4.805504098783177 45.81142424594345, 4.8055989331959115 45.811456842695655, 4.8056319101976595 45.811432711722496, 4.805815796893086 45.81131962325035, 4.806018259874048 45.81120099371554, 4.806282676914891 45.810910877372095, 4.806902771188227 45.810137702674496, 4.807013287130973 45.81007561697387, 4.807143482763415 45.81004207310772, 4.807320965474786 45.81007860292417, 4.80748966737137 45.81019134412199, 4.807583474423343 45.81030789746878, 4.807693300271478 45.8104556733368, 4.807694410391027 45.81037433818651, 4.807663482471789 45.81034597398718, 4.80745729311782 45.81011841012898, 4.807285691473806 45.81003194654153, 4.807176032833176 45.810004831718736, 4.807037914072284 45.8100253864389, 4.806916235831206 45.810090272809106, 4.806756296465559 45.810247575910815, 4.806532442851828 45.810516065386935, 4.8062730529435775 45.81084545096909, 4.806135773776887 45.81100764073353, 4.805961767450911 45.81119402087549, 4.805704428342559 45.81135549052217, 4.805633704679048 45.811372350371634, 4.805596042968556 45.81136770138777, 4.805573207422602 45.811357571172955, 4.805691769624839 45.8108494235451, 4.805661522540703 45.8108420334946)))
CHANTIER_413613;INSEE_69029;pvo_patrimoine_voirie.pvochantierperturbant.413613;413613;Rue Guillermin;Travaux BHNS;Bron;69029;;2026-03-02;2026-07-03;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.924984360218219 45.746523980387224, 4.925012632558178 45.74655523299253, 4.925009014779761 45.74658173575375, 4.925292974145287 45.746448950268494, 4.925181394090845 45.746455070047546, 4.925054983734639 45.74642547940727, 4.924984360218219 45.746523980387224)))
CHANTIER_413612;INSEE_69029;pvo_patrimoine_voirie.pvochantierperturbant.413612;413612;Route de Genas;Travaux BHNS;Bron;69029;;2026-03-02;2026-07-03;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.923574125919738 45.74711763301341, 4.923655467782006 45.747217795020624, 4.924817048589344 45.74679011564347, 4.9260933794335795 45.746341677200775, 4.926759361849226 45.74610663972731, 4.92664279909336 45.745997675496724, 4.926539288608836 45.74603327504175, 4.926525478091479 45.74602222689114, 4.925312603109228 45.74644139064165, 4.924990397035716 45.74659914990952, 4.92483967230748 45.74666751203698, 4.9248227251473615 45.74664335450256, 4.92388644614323 45.746984489420136, 4.923897766936137 45.74700122058001, 4.923611574504428 45.74711323929953, 4.923574125919738 45.74711763301341)))
CHANTIER_411816;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.411816;411816;Rue Michel Servet;Travaux de construction;Villeurbanne;69266;Entre le cours Emile Zola et la rue Anatole France;2025-09-30;2026-07-29;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.878897480553342 45.76836670466147, 4.878795247366432 45.76836839273638, 4.878760314661145 45.76921834660985, 4.878871099348863 45.76922425675536, 4.878897480553342 45.76836670466147)))
CHANTIER_411844;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.411844;411844;Rue Raoul Durand;Travaux de construction;Villeurbanne;69266;A l'Est de la rue Docteur Rollet;2025-10-06;2026-08-07;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.884952604664844 45.766960022536345, 4.885075346044653 45.76696628832427, 4.885091273536708 45.76656076762452, 4.884982219839829 45.76655012686152, 4.884952604664844 45.766960022536345)))
CHANTIER_411840;INSEE_69266;pvo_patrimoine_voirie.pvochantierperturbant.411840;411840;Rue Raoul Durand;Travaux de construction;Villeurbanne;69266;A l'Est de la rue Docteur Rollet;2025-10-06;2026-08-07;;Chantier en cours;Chantier perturbant;Circulation réduite;Autre;A vérifier;2;;;MULTIPOLYGON (((4.884965613130723 45.76673919823035, 4.885085292047027 45.76674930387097, 4.885097474205303 45.76655239089425, 4.884979589200432 45.76654884919392, 4.884965613130723 45.76673919823035)))
